source,target,weight
images.salon.com,salon.com,325
forbes.com,salon.com,262
forbes.com,huffingtonpost.com,261
salon.com,startribune.com,246
huffingtonpost.com,salon.com,244
news.brisbanetimes.com.au,news.smh.com.au,238
forbes.com,images.salon.com,237
huffingtonpost.com,images.salon.com,225
forbes.com,startribune.com,222
huffingtonpost.com,startribune.com,220
hinduonnet.com,thehindu.com,219
cnn.com,premium.cnn.com,209
premium.cnn.com,topics.cnn.com,209
cnn.com,topics.cnn.com,207
images.salon.com,startribune.com,204
phillyburbs.com,salon.com,193
philly.com,salon.com,193
news.smh.com.au,news.theage.com.au,192
news.brisbanetimes.com.au,news.theage.com.au,188
newsvine.com,salon.com,179
images.salon.com,phillyburbs.com,171
boston.com,salon.com,171
salon.com,timesdaily.com,171
forbes.com,phillyburbs.com,164
huffingtonpost.com,timesdaily.com,162
images.salon.com,timesdaily.com,162
huffingtonpost.com,newsvine.com,160
cnn.com,dynamic.cnn.com,159
images.salon.com,newsvine.com,158
marketwatch.com,streetinsider.com,157
newsvine.com,startribune.com,156
huffingtonpost.com,phillyburbs.com,156
dynamic.cnn.com,topics.cnn.com,154
cgi.cnn.com,premium.cnn.com,153
dynamic.cnn.com,premium.cnn.com,152
phillyburbs.com,startribune.com,150
huffingtonpost.com,philly.com,150
news.com.au,theaustralian.news.com.au,148
origin.theaustralian.news.com.au,theaustralian.news.com.au,147
newsvine.com,statesman.com,146
timesoftheinternet.com,uk.news.yahoo.com,145
media.idahostatesman.com,startribune.com,145
images.salon.com,philly.com,145
boston.com,forbes.com,144
kansascity.com,salon.com,144
huffingtonpost.com,statesman.com,144
cgi.cnn.com,cnn.com,143
cgi.cnn.com,topics.cnn.com,143
news.com.au,origin.theaustralian.news.com.au,142
boston.com,timesdaily.com,142
forbes.com,timesdaily.com,141
marketwire.com,pr-inside.com,140
breitbart.com,salon.com,138
earthtimes.org,marketwatch.com,138
idahostatesman.com,media.idahostatesman.com,137
startribune.com,statesman.com,137
startribune.com,timesdaily.com,136
ajc.com,salon.com,136
boston.com,images.salon.com,136
philly.com,startribune.com,136
boston.com,huffingtonpost.com,135
forbes.com,newsvine.com,135
forbes.com,philly.com,135
salon.com,statesman.com,134
forbes.com,images.forbes.com,133
breitbart.com,images.salon.com,133
images.salon.com,sacbee.com,132
idahostatesman.com,startribune.com,131
forbes.com,kansascity.com,131
forbes.com,sacbee.com,130
huffingtonpost.com,sacbee.com,130
ajc.com,images.salon.com,129
sacbee.com,salon.com,129
newsvine.com,sacbee.com,129
forbes.com,tdn.com,128
marketwatch.com,pr-inside.com,128
bellinghamherald.com,startribune.com,127
idahostatesman.com,images.salon.com,126
forbes.com,guardian.co.uk,126
idahostatesman.com,salon.com,126
marketwire.com,www2.marketwire.com,125
images.salon.com,statesman.com,125
ad-hoc-news.de,presseportal.de,125
sacbee.com,startribune.com,124
ad-hoc-news.de,finanznachrichten.de,123
kansascity.com,startribune.com,122
clkurl.com,salon.com,122
chippewa.com,tdn.com,121
dailyindia.com,topnews.in,121
cgi.cnn.com,dynamic.cnn.com,120
boston.com,startribune.com,119
newsvine.com,phillyburbs.com,119
bellinghamherald.com,idahostatesman.com,117
chippewa.com,forbes.com,117
phillyburbs.com,timesdaily.com,117
earthtimes.org,streetinsider.com,117
bellinghamherald.com,salon.com,116
earthtimes.org,pr-inside.com,116
boston.com,kansascity.com,115
huffingtonpost.com,media.idahostatesman.com,115
guardian.co.uk,salon.com,114
forbes.com,statesman.com,114
bellinghamherald.com,phillyburbs.com,113
newsobserver.com,startribune.com,113
breitbart.com,forbes.com,113
media.idahostatesman.com,salon.com,113
tdn.com,wcfcourier.com,112
starnewsonline.com,wilmingtonstar.com,112
salon.com,seattlepi.com,112
g1.globo.com,ultimosegundo.ig.com.br,110
dailyindia.com,in.news.yahoo.com,110
huffingtonpost.com,kansascity.com,110
breitbart.com,huffingtonpost.com,110
philly.com,phillyburbs.com,110
dailynews.co.za,pretorianews.co.za,110
idahostatesman.com,phillyburbs.com,109
ajc.com,startribune.com,109
ajc.com,timesdaily.com,109
forbes.com,wbt.com,109
images.salon.com,kansascity.com,109
pr-inside.com,www2.marketwire.com,109
media.idahostatesman.com,statesman.com,108
bellinghamherald.com,huffingtonpost.com,108
salon.com,washingtonpost.com,107
breitbart.com,uk.news.yahoo.com,107
huffingtonpost.com,idahostatesman.com,106
permanent.nouvelobs.com,rss.nouvelobs.com,106
bellinghamherald.com,forbes.com,105
bellinghamherald.com,images.salon.com,105
adn.com,media.adn.com,104
forbes.com,idahostatesman.com,104
philly.com,timesdaily.com,104
breitbart.com,timesdaily.com,104
archives.cnn.com,premium.cnn.com,103
bellinghamherald.com,kentucky.com,103
noticias.terra.com.br,ultimosegundo.ig.com.br,103
permanent.nouvelobs.com,tempsreel.nouvelobs.com,103
earthtimes.org,prnewswire.com,102
rss.nouvelobs.com,tempsreel.nouvelobs.com,102
boston.com,washingtonpost.com,101
bellinghamherald.com,media.idahostatesman.com,101
images.salon.com,media.idahostatesman.com,101
bellinghamherald.com,newsvine.com,101
clkurl.com,forbes.com,101
clkurl.com,images.salon.com,101
archives.cnn.com,cnn.com,100
archives.cnn.com,topics.cnn.com,100
forbes.com,media.idahostatesman.com,100
ajc.com,boston.com,99
forbes.com,wcfcourier.com,99
huffingtonpost.com,us.rd.yahoo.com,99
uk.news.yahoo.com,us.rd.yahoo.com,99
media.idahostatesman.com,newsvine.com,99
clkurl.com,huffingtonpost.com,98
ajc.com,seattlepi.com,98
sacbee.com,statesman.com,98
ajc.com,forbes.com,97
forbes.com,us.rd.yahoo.com,97
clkurl.com,startribune.com,97
independent.co.uk,rss.feedsportal.com,97
newsvine.com,us.rd.yahoo.com,97
phillyburbs.com,statesman.com,97
chippewa.com,huffingtonpost.com,96
news.smh.com.au,timesoftheinternet.com,96
cnn.com,rss.cnn.com,96
breitbart.com,startribune.com,96
kentucky.com,media.idahostatesman.com,96
phillyburbs.com,washingtonpost.com,96
bellinghamherald.com,statesman.com,96
g1.globo.com,noticias.terra.com.br,96
ajc.com,huffingtonpost.com,95
casperstartribune.net,tdn.com,95
salon.com,us.rd.yahoo.com,95
heraldonline.com,kentucky.com,95
media.adn.com,startribune.com,94
boston.com,breitbart.com,94
images.salon.com,washingtonpost.com,94
idahostatesman.com,kentucky.com,93
heraldonline.com,media.idahostatesman.com,93
huffingtonpost.com,seattlepi.com,93
boston.com,seattlepi.com,93
bellinghamherald.com,sacbee.com,92
guardian.co.uk,huffingtonpost.com,92
huffingtonpost.com,tdn.com,92
kentucky.com,salon.com,92
idahostatesman.com,philly.com,92
boston.com,guardian.co.uk,91
guardian.co.uk,timesdaily.com,91
huffingtonpost.com,washingtonpost.com,91
startribune.com,us.rd.yahoo.com,91
media.adn.com,newsvine.com,91
ad-hoc-news.de,financial.de,91
columbiamissourian.com,forbes.com,90
breitbart.com,timesoftheinternet.com,90
kansascity.com,newsvine.com,90
newsvine.com,timesdaily.com,90
phillyburbs.com,sacbee.com,89
boston.com,tdn.com,89
forbes.com,washingtonpost.com,89
news.smh.com.au,uk.news.yahoo.com,89
premium.cnn.com,rss.cnn.com,89
kentucky.com,startribune.com,89
boston.com,clkurl.com,89
breitbart.com,clkurl.com,89
newsobserver.com,sacbee.com,88
